,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.041666666666666664,0.9733183957722887,0.9753479302705953,0.982996788658665,0.975847217729815,0.9780052127396719,0.9763159195088673,0.977054356082041,0.9801385268894363,0.9779705636005857,0.9768399693850687
0.25,0.9056308038217855,0.9091371362825358,0.9533478909808418,0.9080858634603739,0.9187707225325608,0.9159553538124822,0.9160165691636788,0.9309576361940202,0.9240907297692166,0.912835342942957
1.0,0.7689804757116265,0.7779436607092174,0.8810487745929916,0.7719607590012703,0.7909049405009523,0.7952466297992993,0.7834821923248356,0.8262396038364903,0.8116601491152737,0.7782785700751076
3.25,0.6378938032429675,0.6598621191871625,0.7627724722167684,0.6493539734216301,0.6859266585238208,0.6787978408685121,0.6568212958402243,0.709845228380046,0.7014528807825974,0.6580472992123386
