,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.845468492837584,0.865344949349767,0.8610341765880032,0.8670436573603596,0.8456796724529738,0.8524571190906779,0.8279194338344384,0.8677300519467388,0.8572794066477253,0.8264160617157175
3.0,0.7450181460823155,0.7506762676788139,0.7560957200844016,0.7612017016236077,0.726703423938577,0.7395729381261689,0.7027141868901048,0.769961398718326,0.7424639172358243,0.6917124945807998
7.0,0.6622510862780384,0.6612047766705471,0.6675556854602502,0.6776147431741721,0.641362426327008,0.6539153825308253,0.617083907420347,0.6944316786308802,0.6593694515264918,0.6057186368501907
14.0,0.6092112103087921,0.6047688899472934,0.6060284015875408,0.6188238561442494,0.5885990983760183,0.5983711012573965,0.5623627364759589,0.6292784341251186,0.6045109196404358,0.5559111132755017
