,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.041666666666666664,1.000038194027747,1.0000356169712594,1.000025201713381,1.000115383527481,1.0000319178455666,1.000034290694294,1.0000334419054013,1.0000286603887478,1.0000310697420491,1.0000333438722333
0.25,1.0001352563413815,1.0001312901321633,1.0000691114472375,1.0002125723735569,1.0001178676151437,1.0001216922724363,1.000122541093087,1.0000994200262117,1.0001071283698613,1.0001257166263646
1.0,1.0003311449880117,1.0003208958695813,1.0001761931605533,1.0004078666501355,1.0003033978826243,1.0002963803931308,1.0003160608853365,1.0002503988827816,1.0002658405981864,1.0003198094449006
3.25,1.0005189690260974,1.0004914811608943,1.0003514124062278,1.000583776990584,1.0004557421329305,1.0004648208428395,1.0005007541001834,1.0004185326492099,1.0004213109280138,1.0004929855502267
7.0,1.000641433274699,1.000607924975203,1.0004767113673911,1.0006965656443094,1.0005635291397623,1.0005878504676884,1.0006239917260606,1.0005270007959397,1.0005352277588657,1.0006092850527628
