,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.5019382430360975,0.5868702560385513,0.7869797736463953,0.7583353295060775,0.8052771866773543,0.5785427300424015,0.6882298675815436,0.6704501472384945,0.6496693674476076,0.588193222693852
3.0,0.22470360148413196,0.2469752410232406,0.5507981442346601,0.37177707091580925,0.5390508430930352,0.2561902046052421,0.28844383393028894,0.3574951655272026,0.2489525845689901,0.22061594115038685
7.0,0.11034054350081379,0.11234909126749221,0.3426156600364079,0.16798117730590442,0.31379052561706156,0.13897746175567885,0.11638496944110258,0.16782648857056695,0.08269755960885469,0.07812784291715341
14.0,0.07918468607653509,0.07142873869344327,0.21121111473630544,0.09866639274043693,0.19228247144559124,0.10439220271668953,0.0579194618965381,0.09501616950854805,0.02440215261829104,0.027524524177937354
